bandwidth_hz,steady_max_deg,steady_rms_deg,dynamic_mean_max_deg,dynamic_mean_rms_deg,dynamic_worst_max_deg,score_deg
20,1.11563430956336,0.0759945594922338,0.194167509243913,0.0283473502641268,0.376834589936129,0.354661167676035
30,0.748154829582041,0.0416396146343813,0.120783281540556,0.0213927512265591,0.249421008539316,0.173709429871189
40,0.565780126706882,0.0272779579682193,0.110944372492547,0.0199423307994671,0.209956714028945,0.0917075748521939
50,0.455481670570036,0.0197215979472161,0.107140963854059,0.0200893224020531,0.184009363723489,0.0430975556712355
60,0.383847288809353,0.015190834767224,0.104457653366082,0.0208048159811561,0.16172281146716,0.023741735279879
70,0.331569916581871,0.0122419519081181,0.102151185696745,0.0217363709940185,0.142760338148955,0.0220859098863888
80,0.292315820516249,0.0102171584954863,0.100192851848637,0.0227532155517609,0.126880896389691,0.0214307431307107
100,0.234512034874852,0.00773231793629181,0.0973035048307425,0.0248574774857725,0.103224487629432,0.0211833670243418
120,0.194040598783692,0.00639975273141894,0.102479101210135,0.0269515810458239,0.1045727187387,0.0216783669552078
150,0.157625503971239,0.00547843302802866,0.114964006283414,0.030001640427395,0.118039970617912,0.0230620477460254
