scenario_id,scenario_label,method,max_error_deg,rms_error_deg
variable_speed,Variable speed,Hall raw,0.228702301165393,0.0603708523837475
variable_speed,Variable speed,Alpha-beta,0.0987059874944068,0.0261961158647151
variable_speed,Variable speed,Discrete ESO,0.0991772051845254,0.0252898595295382
variable_speed,Variable speed,Gyro integration,0.476115398402898,0.294358941962188
variable_speed,Variable speed,Complementary,0.0765530661228451,0.0202299197021139
variable_speed,Variable speed,Kalman,0.0904408220661154,0.0237721276573892
impact,Impact vibration,Hall raw,0.260426811575003,0.0606060928564502
impact,Impact vibration,Alpha-beta,0.0947188630615261,0.0254463342371197
impact,Impact vibration,Discrete ESO,0.103224487629432,0.0246434080908011
impact,Impact vibration,Gyro integration,0.261266229395397,0.131227271082999
impact,Impact vibration,Complementary,0.0732396916265809,0.0193700017234028
impact,Impact vibration,Kalman,0.0839920253116213,0.0230128527102159
load_disturbance,Load disturbance,Hall raw,0.240146648771989,0.0610668415370215
load_disturbance,Load disturbance,Alpha-beta,0.09736640525148,0.0256723975275782
load_disturbance,Load disturbance,Discrete ESO,0.0895088216782701,0.0246391648369783
load_disturbance,Load disturbance,Gyro integration,0.414665196356885,0.231849566366985
load_disturbance,Load disturbance,Complementary,0.0715838066834941,0.0197084580141004
load_disturbance,Load disturbance,Kalman,0.0901488320204532,0.0233437181396212
