sweep_rpm,method,metric_samples,mean_error_deg,sigma_1sigma_deg,rms_error_deg,max_abs_error_deg,sigma_to_target_ratio,pass_1sigma
0.5,Hall raw,95001,4.06044254776486e-05,0.00820782829662286,0.00820788553356746,0.0485608923198089,1.64156565932457,0
0.5,Alpha-beta,95001,4.04793626210225e-05,0.00326688791349087,0.00326712149706619,0.0211423431799015,0.653377582698174,1
0.5,Discrete ESO,95001,4.04024321470652e-05,0.00459269340572711,0.00459284694367793,0.0270839917461499,0.918538681145421,1
0.5,Complementary,95001,0.000479216365849085,0.00239446264761841,0.00244193352584647,0.0157624211554477,0.478892529523682,1
0.5,Kalman,95001,7.92823431261638e-05,0.00293379905887248,0.00293485468241002,0.0187972505294681,0.586759811774496,1
1,Hall raw,95001,2.37412411388088e-05,0.00818253687472023,0.00818252825122583,0.0433220381328693,1.63650737494405,0
1,Alpha-beta,95001,2.36769905041821e-05,0.00323033095119154,0.00323040072015157,0.0172188711004592,0.646066190238308,1
1,Discrete ESO,95001,2.3649255230188e-05,0.00455369793015453,0.00455373537365149,0.0235333039274944,0.910739586030907,1
1,Complementary,95001,0.000469014913734556,0.00235476493856867,0.0024010069842204,0.0115140794150726,0.470952987713735,1
1,Kalman,95001,6.37216132187788e-05,0.0028987182031556,0.00289940325207651,0.01505272733436,0.579743640631121,1
5,Hall raw,95001,8.99730033524204e-06,0.0081145676585017,0.00811452993864272,0.0438967313335204,1.62291353170034,0
5,Alpha-beta,95001,9.15762537917524e-06,0.00320813809811752,0.00320813428356957,0.019907035602124,0.641627619623504,1
5,Discrete ESO,95001,9.04687954023585e-06,0.00451835016260335,0.00451833543910957,0.0282383863693074,0.90367003252067,1
5,Complementary,95001,0.000449484664271863,0.00233770630866567,0.00238051459240239,0.0143628866626635,0.467541261733133,1
5,Kalman,95001,4.87095326092306e-05,0.0028732983294973,0.00287369605319703,0.01814280547698,0.57465966589946,1
