scenario_id,scenario_label,stress_note,method,max_error_deg,rms_error_deg
strong_impact,Strong impact,"1.6G-like equivalent structural shock",Hall raw,0.514185021725634,0.0496354314272244
strong_impact,Strong impact,"1.6G-like equivalent structural shock",Alpha-beta,0.502081980098081,0.0481729549517441
strong_impact,Strong impact,"1.6G-like equivalent structural shock",Discrete ESO,0.515437243118003,0.048498098586024
strong_impact,Strong impact,"1.6G-like equivalent structural shock",Complementary,0.489463263050099,0.0473649603736699
strong_impact,Strong impact,"1.6G-like equivalent structural shock",Kalman,0.490981921331077,0.047493029928224
gyro_temp_drift,Gyro drift + thermal drift,"larger gyro bias drift plus 35 C Hall thermal ramp",Hall raw,0.192552159593367,0.0560376989663418
gyro_temp_drift,Gyro drift + thermal drift,"larger gyro bias drift plus 35 C Hall thermal ramp",Alpha-beta,0.16399766378491,0.0541362297855286
gyro_temp_drift,Gyro drift + thermal drift,"larger gyro bias drift plus 35 C Hall thermal ramp",Discrete ESO,0.16333156349491,0.0540848046433713
gyro_temp_drift,Gyro drift + thermal drift,"larger gyro bias drift plus 35 C Hall thermal ramp",Complementary,0.157673465915868,0.053855957362843
gyro_temp_drift,Gyro drift + thermal drift,"larger gyro bias drift plus 35 C Hall thermal ramp",Kalman,0.161435656589933,0.0540092655868643
axis_coupling,Axis coupling,"adjacent-axis coupling projected to current Hall axis",Hall raw,0.280714361057745,0.138494337560867
axis_coupling,Axis coupling,"adjacent-axis coupling projected to current Hall axis",Alpha-beta,0.25068491813463,0.137729685152787
axis_coupling,Axis coupling,"adjacent-axis coupling projected to current Hall axis",Discrete ESO,0.249020990127921,0.137705875463313
axis_coupling,Axis coupling,"adjacent-axis coupling projected to current Hall axis",Complementary,0.245296624715757,0.137657377467742
axis_coupling,Axis coupling,"adjacent-axis coupling projected to current Hall axis",Kalman,0.249614193041283,0.137705671630841
combined_stress,Combined stress,"impact, coupling, thermal drift and stronger gyro drift combined",Hall raw,0.341146935763823,0.0965089297775616
combined_stress,Combined stress,"impact, coupling, thermal drift and stronger gyro drift combined",Alpha-beta,0.330098148082795,0.095591883314132
combined_stress,Combined stress,"impact, coupling, thermal drift and stronger gyro drift combined",Discrete ESO,0.331426425712786,0.0956233555379482
combined_stress,Combined stress,"impact, coupling, thermal drift and stronger gyro drift combined",Complementary,0.322107614962172,0.0953089422789668
combined_stress,Combined stress,"impact, coupling, thermal drift and stronger gyro drift combined",Kalman,0.32535140683375,0.0953912904271406
